"lifetime";"regime";"censored"
10;"M_4.3";0
33;"M_4.3";0
44;"M_4.3";0
56;"M_4.3";0
59;"M_4.3";0
72;"M_4.3";0
74;"M_4.3";0
77;"M_4.3";0
92;"M_4.3";0
93;"M_4.3";0
96;"M_4.3";0
100;"M_4.3";0
100;"M_4.3";0
102;"M_4.3";0
105;"M_4.3";0
107;"M_4.3";0
107;"M_4.3";0
108;"M_4.3";0
108;"M_4.3";0
108;"M_4.3";0
109;"M_4.3";0
112;"M_4.3";0
113;"M_4.3";0
115;"M_4.3";0
116;"M_4.3";0
120;"M_4.3";0
121;"M_4.3";0
122;"M_4.3";0
122;"M_4.3";0
124;"M_4.3";0
130;"M_4.3";0
134;"M_4.3";0
136;"M_4.3";0
139;"M_4.3";0
144;"M_4.3";0
146;"M_4.3";0
153;"M_4.3";0
159;"M_4.3";0
160;"M_4.3";0
163;"M_4.3";0
163;"M_4.3";0
168;"M_4.3";0
171;"M_4.3";0
172;"M_4.3";0
176;"M_4.3";0
183;"M_4.3";0
195;"M_4.3";0
196;"M_4.3";0
197;"M_4.3";0
202;"M_4.3";0
213;"M_4.3";0
215;"M_4.3";0
216;"M_4.3";0
222;"M_4.3";0
230;"M_4.3";0
231;"M_4.3";0
240;"M_4.3";0
245;"M_4.3";0
251;"M_4.3";0
253;"M_4.3";0
254;"M_4.3";0
254;"M_4.3";0
278;"M_4.3";0
293;"M_4.3";0
327;"M_4.3";0
342;"M_4.3";0
347;"M_4.3";0
361;"M_4.3";0
402;"M_4.3";0
432;"M_4.3";0
458;"M_4.3";0
555;"M_4.3";0
18;"M_C";0
36;"M_C";0
50;"M_C";0
52;"M_C";0
86;"M_C";0
87;"M_C";0
89;"M_C";0
91;"M_C";0
102;"M_C";0
108;"M_C";0
114;"M_C";0
114;"M_C";0
115;"M_C";0
118;"M_C";0
119;"M_C";0
120;"M_C";0
149;"M_C";0
160;"M_C";0
165;"M_C";0
166;"M_C";0
167;"M_C";0
167;"M_C";0
173;"M_C";0
178;"M_C";0
189;"M_C";0
209;"M_C";0
212;"M_C";0
216;"M_C";0
273;"M_C";0
278;"M_C";0
279;"M_C";0
292;"M_C";0
341;"M_C";0
355;"M_C";0
367;"M_C";0
380;"M_C";0
382;"M_C";0
421;"M_C";0
421;"M_C";0
432;"M_C";0
446;"M_C";0
455;"M_C";0
463;"M_C";0
474;"M_C";0
505;"M_C";0
545;"M_C";0
546;"M_C";0
569;"M_C";0
576;"M_C";0
590;"M_C";0
603;"M_C";0
607;"M_C";0
608;"M_C";0
621;"M_C";0
634;"M_C";0
634;"M_C";0
637;"M_C";0
638;"M_C";0
641;"M_C";0
650;"M_C";0
663;"M_C";0
685;"M_C";0
688;"M_C";0
725;"M_C";0
735;"M_C";0
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
735;"M_C";1
